Danh sÃ¡ch nhÃ¢n viÃªn trong cÃ´ng ty: 
Nguyen Van A, MKT001, MKT, 20, 09/04/2001, Nam, 5000.0
Tran Trong B, MKT002, MKT, 22, 13/04/1999, Nam, 4000.0
Le Van C, MKT003, MKT, 21, 22/04/2000, Nam, 3000.0
Nguyen Thi A, MKT004, MKT, 18, 30/11/2003, Nu, 3000.0
Tran Nguyen Van C, MKT005, MKT, 24, 12/05/1997, Nu, 3000.0
Nguyen Thi D, KTN001, KTN, 19, 19/09/2002, Nu, 5000.0
Tran Van E, KTN002, KTN, 23, 13/05/1998, Nam, 4000.0
Bao Ngoc F, KTN003, KTN, 22, 22/03/1999, Nu, 3000.0
Huynh Huu A, KTN004, KTN, 21, 23/06/2000, Nam, 5000.0
Tran Nguyen E, KTN005, KTN, 28, 13/04/1993, Nam, 7000.0
Le Tran D, HCH001, HCH, 21, 27/08/2000, Nam, 5000.0
Ha Thi F, HCH002, HCH, 20, 13/04/2001, Nu, 4000.0
Tran Thi I, HCH003, HCH, 18, 28/02/2003, Nu, 3000.0
Nguyen Hoat B, HCH004, HCH, 19, 01/01/2002, Nam, 5000.0
Nguyen Thi C, HCH005, HCH, 25, 22/04/1996, Nu, 6000.0
Le Trung H, NHS001, NHS, 19, 09/04/2002, Nam, 6000.0
Nguyen Hoai M, NHS002, NHS, 19, 31/07/2002, Nu, 5000.0
Dao Van H, NHS003, NHS, 23, 13/02/1998, Nam, 6000.0
Le Van L, NHS004, NHS, 24, 23/10/1997, Nam, 6000.0
Nguyen Hoang K, NHS005, NHS, 27, 17/07/1994, Nu, 7000.0
Tran Luyen B, KTH001, KTH, 21, 14/04/2000, Nu, 5000.0
Oc Thanh V, KTH002, KTH, 20, 10/03/2001, Nu, 4000.0
Le Hoai F, KTH003, KTH, 22, 29/05/1999, Nu, 6000.0
Hoai Thi I, KTH004, KTH, 24, 27/03/1997, Nu, 7000.0
Kha B, KTH005, KTH, 22, 27/07/1999, Nu, 6000.0
